"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000039488",0,0,0,0,0,1
"ENSMUSG00000039492",0,0,0,0,0,0
"ENSMUSG00000039496",164,146,142,175,200,189
"ENSMUSG00000039497",107,66,87,420,389,466
"ENSMUSG00000039501",833,427,750,838,1201,1057
"ENSMUSG00000039508",0,0,0,0,0,0
"ENSMUSG00000039509",197,144,140,281,286,299
"ENSMUSG00000039512",1709,1368,1503,1259,1605,1562
"ENSMUSG00000039515",4775,4607,5595,2984,3600,2981
"ENSMUSG00000039518",1,11,3,270,45,98
"ENSMUSG00000039519",0,0,0,0,0,0
"ENSMUSG00000039521",2.15,1.05,1.07,0,1.08,2.12
"ENSMUSG00000039523",960,756,797,1272,1223,1189
"ENSMUSG00000039529",0,0,0,0,0,0
"ENSMUSG00000039530",2854,2538,2284,4342,3890,4175
"ENSMUSG00000039531",89,79,89,251,231.06,270
"ENSMUSG00000039533",0,0,0,0,0,0
"ENSMUSG00000039536",1268,975,1114,1657,1421,1491
"ENSMUSG00000039539",1,1,0,0,0,1
"ENSMUSG00000039540",0,0,0,0,0,0
"ENSMUSG00000039542",2,2,0,1,4,1
"ENSMUSG00000039543",0,0,0,0,2,0
"ENSMUSG00000039546",0,0,0,0,0,0
"ENSMUSG00000039552",0,0,0,0,0,0
"ENSMUSG00000039555",0,0,0,0,0,0
"ENSMUSG00000039556",104,55,71,152,186,162
"ENSMUSG00000039568",1088,1210,1054,1279,1378,1057
"ENSMUSG00000039577",118,134,95,202,187,204
"ENSMUSG00000039578",0,1,0,1,2,0
"ENSMUSG00000039579",10,4,3,18,12,10
"ENSMUSG00000039585",242,228,205,813,676,831
"ENSMUSG00000039599",100.19,112.98,92.06,278.69,203.38,267.72
"ENSMUSG00000039601",0,0,0,0,0,0
"ENSMUSG00000039607",0,0,0,0,1,0
"ENSMUSG00000039608",0,0,0,0,0,0
"ENSMUSG00000039611",309,379,308,736,617,557
"ENSMUSG00000039615",1596.25,1709.51,1503.49,2211.48,2176.43,1917.03
"ENSMUSG00000039616",1060,748,788,905,1064,938
"ENSMUSG00000039617",838.29,1079.72,999.06,879.15,728.57,718.15
"ENSMUSG00000039620",0,0,0,0,0,0
"ENSMUSG00000039621",1708,1093,1661,606,1396,1045
"ENSMUSG00000039623",337,251,238.19,610.13,784,634
"ENSMUSG00000039628",8,2,1,9,9,7
"ENSMUSG00000039629",0,0,0,1,0,2
"ENSMUSG00000039630",3044,2707,3022,12771,11298,12409
"ENSMUSG00000039632",0,0,0,4,3,3
"ENSMUSG00000039633",388,315,406,391,444,402
"ENSMUSG00000039634",86,41,53,121,118,161
"ENSMUSG00000039637",332,390,284,445,486,416
"ENSMUSG00000039639",0,1,0,0,0,0
"ENSMUSG00000039640",2250,2226,2811,1409,1490,1197
"ENSMUSG00000039646",14,18,9,21,22,31
"ENSMUSG00000039648",152,130,164,51,82,74
"ENSMUSG00000039652",78,62,49,100,89,105
"ENSMUSG00000039653",4,3,1,4,2,4
"ENSMUSG00000039656",3730,3659,3940,1450,1980,1545
"ENSMUSG00000039660",523.54,385.08,558.67,433.11,503.7,439.02
"ENSMUSG00000039661",0,0,0,1,0,0
"ENSMUSG00000039662",2603,2298,2298,2699,2595,2524
"ENSMUSG00000039670",196,149,265,150,188,148
"ENSMUSG00000039671",2405.03,2371.38,2411.09,2746.1,2919.28,2823.43
"ENSMUSG00000039672",0,2,0,1,9,7
"ENSMUSG00000039676",0,0,0,0,0,0
"ENSMUSG00000039678",655,637,531,926,906,829
"ENSMUSG00000039680",1450.79,1637.45,1365.23,2318.37,1827.11,1854.13
"ENSMUSG00000039682",1050,1109,1101,869,829,801
"ENSMUSG00000039683",0,0,1,2,1,0
"ENSMUSG00000039684",0,0,0,0,1.01,0
"ENSMUSG00000039686",524,486,534,671,801,705
"ENSMUSG00000039691",32,21,25,20,70,53
"ENSMUSG00000039693",419,356,314,621,661,617
"ENSMUSG00000039697",140,95,77,524,402,515
"ENSMUSG00000039699",6,9,4,11,8,14
"ENSMUSG00000039701",304,298,311.99,503,550,631.3
"ENSMUSG00000039703",2432,2544,2182,2280,2136,2135
"ENSMUSG00000039704",234,170.17,233,521,427,643
"ENSMUSG00000039706",0,0,0,0,0,0
"ENSMUSG00000039710",0,0,0,0,0,0
"ENSMUSG00000039713",506,270,529,199,401,280
"ENSMUSG00000039714",0,0,1,1,0,1
"ENSMUSG00000039715",275.32,296.53,340.6,239.24,193.96,164.69
"ENSMUSG00000039716",1,3,0,13,3,5
"ENSMUSG00000039717",0,0,0,0,0,0
"ENSMUSG00000039720",1,2,0,0,1,1
"ENSMUSG00000039725",558.86,362.67,415.77,462.34,568.62,494.8
"ENSMUSG00000039728",0,0,0,1,1,1
"ENSMUSG00000039735",1881,830,1401,1819,2534,2686
"ENSMUSG00000039737",374.99,455.02,430,478.03,469.01,388.18
"ENSMUSG00000039738",139,121,93,332,471,391
"ENSMUSG00000039740",315,558,193,2300,868,1383
"ENSMUSG00000039741",417,294,517,542,554,503
"ENSMUSG00000039742",0,1,0,0,1,1
"ENSMUSG00000039745",1153,1028,1305,1293,1119,1118
"ENSMUSG00000039747",1085,796,934,797,1291,1013
"ENSMUSG00000039748",2.98,12.51,6.43,12.01,6.94,13.35
"ENSMUSG00000039753",1343,1157,1059,2289,2405,2823
"ENSMUSG00000039754",145,107,142,87,116,103
"ENSMUSG00000039756",506,518,538,1704,1314,1564
"ENSMUSG00000039759",703,725,899,367,422,347
"ENSMUSG00000039760",1,0,0,0,2,0
"ENSMUSG00000039763",3,2,8,35,44,52
"ENSMUSG00000039765",2,1,2,6,6,8
"ENSMUSG00000039768",692,542,535,916,959,852
"ENSMUSG00000039770",1471,1425,1197,1856,1500,1624
"ENSMUSG00000039771",589.42,567.33,624.98,888.8,812.71,778.07
"ENSMUSG00000039774",0,0,1,1,1,1
"ENSMUSG00000039775",0,0,0,0,0,0
"ENSMUSG00000039781",46,46,43,103,143,132
"ENSMUSG00000039782",559,608,610,834,891,1183
"ENSMUSG00000039783",0,0,1,0,1,3
"ENSMUSG00000039785",0,0,0,0,0,0
"ENSMUSG00000039787",3,1,0,11,9,4
"ENSMUSG00000039789",94,81,80,276,202,281
"ENSMUSG00000039795",521,406,426,238,364,352
"ENSMUSG00000039801",38,46.77,35,365.18,313.37,379.75
"ENSMUSG00000039804",174,146,157,807,746,722
"ENSMUSG00000039809",0,0,0,0,1,2
"ENSMUSG00000039810",876,931,992,530,612,516
"ENSMUSG00000039813",909,928,1101,242,418,339
"ENSMUSG00000039814",2,1,1,8,2,3
"ENSMUSG00000039824",150,175,187,112,127,82
"ENSMUSG00000039826",255.97,204.85,216,376.77,478.88,424.85
"ENSMUSG00000039828",721.25,701,716.38,758.12,726.98,704.57
"ENSMUSG00000039830",0,0,0,1,0,0
"ENSMUSG00000039831",0,1,0,0,1,1
"ENSMUSG00000039834",2300.9,2145.44,2547.09,973.45,1072.02,903.75
"ENSMUSG00000039835",43,30,19,217,219,218
"ENSMUSG00000039838",1,0,1,1,5,5
"ENSMUSG00000039840",624,558,501,471,460,503
"ENSMUSG00000039841",217,181,218,528,373,572
"ENSMUSG00000039842",306,324,300,430,341,364
"ENSMUSG00000039844",8380,6009.64,7534,4220,5737,4912
"ENSMUSG00000039849",1870.1,1967.56,2131.91,980.55,1166.98,984.25
"ENSMUSG00000039850",365.02,307,345.67,221,321.38,280.94
"ENSMUSG00000039851",0,2,0,2,2,1
"ENSMUSG00000039852",6847,5322,7038,4989,4877,4863
"ENSMUSG00000039853",132,89,99,140,227,172
"ENSMUSG00000039860",0,0,0,0,1,3
"ENSMUSG00000039865",0,1,0,0,0,0
"ENSMUSG00000039873",2721.57,2667.66,3020.25,949.56,1469.07,1004.07
"ENSMUSG00000039878",0,0,0,0,0,0
"ENSMUSG00000039879",747,598,644,1206,1229,1337
"ENSMUSG00000039883",1,3,1,2,1,5
"ENSMUSG00000039886",941,1359,993,980,844,775
"ENSMUSG00000039887",238,228,179,642,394,505
"ENSMUSG00000039891",3,3,7,14,13,10
"ENSMUSG00000039899",4,2,4,0,3,0
"ENSMUSG00000039901",209,214,155,257,234,226
"ENSMUSG00000039903",5,1,3,6,7,5
"ENSMUSG00000039904",0,0,0,0,0,1
"ENSMUSG00000039908",247,224,204,156,222,225
"ENSMUSG00000039910",37590,31906,35081,31506,35412,30791
"ENSMUSG00000039911",154,154,158,89,142,89
"ENSMUSG00000039913",0,0,0,0,0,0
"ENSMUSG00000039914",677,688,803,806,798,756
"ENSMUSG00000039917",219,146.33,158,411.98,567,494.03
"ENSMUSG00000039929",249,186,230,251,235,264
"ENSMUSG00000039934",570,278,394,555,1465,1207
"ENSMUSG00000039936",332,154,373,236,382,290
"ENSMUSG00000039942",392,162,310,168,287,274
"ENSMUSG00000039943",1199,705,931,2133,3182,3223
"ENSMUSG00000039952",5441,3695,3994,7274,7679,7540
"ENSMUSG00000039953",2087,1704,1845,3954,4952,4146
"ENSMUSG00000039954",0,0,0,0,0,0
"ENSMUSG00000039956",2,0,5,5,7,7
"ENSMUSG00000039958",49,26,44,98,94,107
"ENSMUSG00000039959",915,508,591,968,1458,1326
"ENSMUSG00000039960",31,37,47,34,45,38
"ENSMUSG00000039962",2.67,1.01,2,4.03,6.02,3.86
"ENSMUSG00000039963",5,2,5,12,12,11
"ENSMUSG00000039967",1182,935,887,3067,2144,3366
"ENSMUSG00000039968",439,292,369,858,924,1054
"ENSMUSG00000039976",536,336,540,430,545,468
"ENSMUSG00000039977",0,0,0,0,0,0
"ENSMUSG00000039981",86,35,76,34,71,57
"ENSMUSG00000039982",828,463,615,754,1508,1213
"ENSMUSG00000039983",139,117,126,237,209,248
"ENSMUSG00000039985",1040.15,585.07,808.74,1654.84,1357.71,1582.11
"ENSMUSG00000039987",212,125,211,814,663,824
"ENSMUSG00000039988",542.8,498.7,532.04,1261.52,1084.29,1209.13
"ENSMUSG00000039989",920,860,824,1082,879,933
"ENSMUSG00000039990",288,203,237,446,428,478
"ENSMUSG00000039994",243,189,171,177,357,268
"ENSMUSG00000039997",274.17,675.1,255.86,4783.03,2229.2,3410.78
"ENSMUSG00000040003",28,19,29,102.74,129.86,119
"ENSMUSG00000040006",391,360,371,1118,964,993
"ENSMUSG00000040007",806,831,802,944,864,802
"ENSMUSG00000040009",0,0,0,0,0,0
"ENSMUSG00000040010",759,2265,677,1143,436,596
"ENSMUSG00000040013",1,0,0,3,0,1
"ENSMUSG00000040016",0,0,0,0,0,0
"ENSMUSG00000040017",0,0,0,0,1,0
"ENSMUSG00000040018",537.21,439.44,485.53,739.58,654.39,707.35
"ENSMUSG00000040021",1060,1068,972,1540,1229,1617
"ENSMUSG00000040022",60,53,79,187,189,236
"ENSMUSG00000040025",1047,982,962,1542,1241,1411
"ENSMUSG00000040026",12,27,24.81,12,16.99,11
"ENSMUSG00000040028",1798,1916,1682,2253,1637,1821
"ENSMUSG00000040029",347,240,198,731,767,816
"ENSMUSG00000040033",779,370,648,662,933,861
"ENSMUSG00000040034",82,85,88,146,104,127
"ENSMUSG00000040035",0,1,0,1,3,6
"ENSMUSG00000040037",0,0,0,0,0,0
"ENSMUSG00000040040",77,87,71,190,163,136
"ENSMUSG00000040043",6460,6231,7006,5643,5934,5389
"ENSMUSG00000040044",481,463,336,954,835,901
"ENSMUSG00000040046",0,0,0,0,1,0
"ENSMUSG00000040048",2012,2235,2269,1259,1338,1119
"ENSMUSG00000040054",1707,1403,1560,1928,1845,1978
"ENSMUSG00000040055",0,0,0,0,1,0
"ENSMUSG00000040061",1338,914,1135,423,860,711
"ENSMUSG00000040065",2,0,0,1,1,0
"ENSMUSG00000040078",113.49,175.59,113.66,320.34,155.37,179.38
"ENSMUSG00000040084",221,278,251,216,237,225
"ENSMUSG00000040086",0,1,0,5,3,2
"ENSMUSG00000040093",396,201,311,531,713,584
"ENSMUSG00000040097",462,427,413,1017,1091,952
"ENSMUSG00000040102",169,115,137,281,272,329
"ENSMUSG00000040105",102.85,66,109.93,312.79,344.87,293
"ENSMUSG00000040111",2601,2202,2130,3950,4012,4067
"ENSMUSG00000040112",897,835,901,527,606,560
"ENSMUSG00000040113",0,0,0,0,0,0
"ENSMUSG00000040118",0,0,0,0,0,1
"ENSMUSG00000040121",126.64,184.24,159.59,29.46,34.52,41.48
"ENSMUSG00000040123",191,208.87,211.77,484.94,457.25,560.51
"ENSMUSG00000040124",465,432,357,444,463,500
"ENSMUSG00000040125",2.98,5.04,1.47,8.14,5.61,5.04
"ENSMUSG00000040127",0,0,0,0,0,0
"ENSMUSG00000040128",4096,3824,4369,3008,2601,2619
"ENSMUSG00000040132",0,0,0,0,1,0
"ENSMUSG00000040133",24,13,20,10,14,15
"ENSMUSG00000040134",0,0,0,0,0,0
"ENSMUSG00000040136",0,0,0,0,0,0
"ENSMUSG00000040138",0,0,0,1,0,0
"ENSMUSG00000040139",146,161,160,148,135,159
"ENSMUSG00000040140",0,0,0,0,0,0
"ENSMUSG00000040146",868,843,944,528,569,496
"ENSMUSG00000040147",0,0,0,1,0,0
"ENSMUSG00000040148",63,67,59,42,45,41
"ENSMUSG00000040151",861,556,637,1233,1474,1554
"ENSMUSG00000040152",14,3,17,22,42,33
"ENSMUSG00000040154",0,0,0,0,0,0
"ENSMUSG00000040158",1544.63,1431.24,1489.19,991.54,1115,960.55
"ENSMUSG00000040163",0,0,0,0,1,0
"ENSMUSG00000040164",0,0,0,0,0,0
"ENSMUSG00000040165",145.06,166.14,141.63,400,965.45,704.93
"ENSMUSG00000040167",211,233,212,416,289,378
"ENSMUSG00000040170",0,0,0,0,1,0
"ENSMUSG00000040174",674,749.96,714,804,776,692
"ENSMUSG00000040177",159,115,124,204.14,202,172
"ENSMUSG00000040181",913.12,754.96,741.09,617.39,633.68,613
"ENSMUSG00000040183",3,1,1,1,0,0
"ENSMUSG00000040187",0,0,0,2,3,3
"ENSMUSG00000040188",2674,2968,2626,3672,3326,3194
"ENSMUSG00000040189",11,9.01,8,57,40,52
"ENSMUSG00000040195",64,94,74,188,204,185
"ENSMUSG00000040197",0,0,0,0,0,0
"ENSMUSG00000040204",124,162,135,28,55,62
"ENSMUSG00000040205",0,0,0,0,0,1
"ENSMUSG00000040209",0,0,0,4,7,8
"ENSMUSG00000040212",2135,2900,2202,2553,2256,1980
"ENSMUSG00000040213",0,0,0,7,4,4
"ENSMUSG00000040217",0,0,0,0,0,0
"ENSMUSG00000040219",988,1053,863,612,608,615
"ENSMUSG00000040220",131.99,141,131,315,238,252
"ENSMUSG00000040225",3809,3438,3393,7324,6239.98,7718
"ENSMUSG00000040229",0,0,0,1,1,2
"ENSMUSG00000040231",3,0,3,2,1,1
"ENSMUSG00000040234",869,900,732,1321,1288,1307
"ENSMUSG00000040236",926,1009,951,609,644,513
"ENSMUSG00000040242",956,949.97,841.74,2471.03,2111.88,2271
"ENSMUSG00000040247",13,5,6,7,11,6
"ENSMUSG00000040249",52379,28766,52229,22281,47081,36550
"ENSMUSG00000040250",243,233,214,1115,816,900
"ENSMUSG00000040253",0,2,0,34,10.96,28
"ENSMUSG00000040254",0,0,0,0,0,0
"ENSMUSG00000040258",6,3,2,16,7,11
"ENSMUSG00000040260",0,0,2,1,1,0
"ENSMUSG00000040263",876,883,824,824,792.92,723
"ENSMUSG00000040264",0,1,0,11,9,6
"ENSMUSG00000040265",0,3,1,1,2,0
"ENSMUSG00000040268",1699,1424,1274,1869,1642,1880
"ENSMUSG00000040269",165,255,164,345,203,235
"ENSMUSG00000040270",0,0,0.79,1.19,3,7
"ENSMUSG00000040272",45,33,34,69,108,85
"ENSMUSG00000040274",5637,3316,4556,4288,5816.01,5658
"ENSMUSG00000040276",24,25,34,8,21,11
"ENSMUSG00000040280",1,3,1,6,6,7
"ENSMUSG00000040282",53,58,44,140,100,96
"ENSMUSG00000040283",0,0,0,2,0,4
"ENSMUSG00000040284",0,0,0,0,0,0
"ENSMUSG00000040287",4,3,3,7,15,12
"ENSMUSG00000040289",9,4,3,28,36,29
"ENSMUSG00000040296",452,361,313,593,702,710
"ENSMUSG00000040297",604,675,631,1861,1131,1681
"ENSMUSG00000040298",2.16,3,1,7,17.17,12.8
"ENSMUSG00000040302",135.98,137.07,125.34,178.66,151.8,182.66
"ENSMUSG00000040310",0,0,0,0,1,0
"ENSMUSG00000040312",96,155,114,170,161,141
"ENSMUSG00000040314",0,0,0,0,1,0
"ENSMUSG00000040321",46,32,38,210,194,208
"ENSMUSG00000040322",372,407,236,1825,1496,1835
"ENSMUSG00000040323",556.42,596.28,427.31,359.34,170.55,276.47
"ENSMUSG00000040325",415,637.1,391,973,568,776
"ENSMUSG00000040327",551,420,499,508,842,659
"ENSMUSG00000040328",0,0,0,0,1,0
"ENSMUSG00000040329",0,0,0,2,4,1
"ENSMUSG00000040331",660,624,567,876,813,759
"ENSMUSG00000040339",923,440,733,1536,2366,2607
"ENSMUSG00000040340",0,0,0,0,1,1
"ENSMUSG00000040345",576,635,525,533,717,627
"ENSMUSG00000040350",79.02,41.01,75.03,169.02,214,165.05
"ENSMUSG00000040351",690,537,512,1988,1621,2013
"ENSMUSG00000040354",2221,3696,1774,2363,957,1412
"ENSMUSG00000040356",254,316,236,505,638,532
"ENSMUSG00000040359",1004,1471,871,2525,1240,1868
"ENSMUSG00000040363",885,573,742,856,1074,1001
"ENSMUSG00000040364",7,2,19.99,97.96,111.32,89.7
"ENSMUSG00000040365",1126,1134,1002,1382,1488,1339
"ENSMUSG00000040367",0,0,0,0,0,2
"ENSMUSG00000040370",188.12,127.21,125,486.15,454.27,469.14
"ENSMUSG00000040372",0,0,0,0,0,0
"ENSMUSG00000040373",0,0,0,0,0,0
"ENSMUSG00000040374",545,554,386,1188,870,1053
"ENSMUSG00000040380",40.53,36.15,34.62,28.17,45.62,48
"ENSMUSG00000040383",649,497,520,1384,1285,1407
"ENSMUSG00000040385",3761.9,4430.59,3818.97,4975.1,4647.83,4337.92
"ENSMUSG00000040387",1.22,19.42,6.78,2.6,6.15,5.23
"ENSMUSG00000040389",136,110,100,629,538,652
"ENSMUSG00000040390",945,817,951,1098.34,1141.75,902.47
"ENSMUSG00000040396",611,531,445,1141,909,1085
"ENSMUSG00000040405",0,0,0,0,0,0
"ENSMUSG00000040407",659,628,596,2098,2028,2373
"ENSMUSG00000040410",227,219,160,581,539,558
"ENSMUSG00000040412",0,2,0,5,4,5
"ENSMUSG00000040413",0,0,0,0,0,0
"ENSMUSG00000040414",832,944,989,489,609,504
"ENSMUSG00000040415",888,991,1074,743,1031,748
"ENSMUSG00000040420",0,0,0,0,0,0
"ENSMUSG00000040423",1234,1193,1168,1221,1134,1383
"ENSMUSG00000040424",1,2,1,0,5,2
"ENSMUSG00000040428",8,12,11,16,18,12
"ENSMUSG00000040429",44.5,33.86,28.14,130.2,119.52,134.37
"ENSMUSG00000040430",415,259,321,305,469,446
"ENSMUSG00000040432",0,1,0,0,0,0
"ENSMUSG00000040433",871,493,877,851,878,982
"ENSMUSG00000040434",0,1,0,0,1,0
"ENSMUSG00000040435",6677,9320,7759,1892,1617,1604
"ENSMUSG00000040441",36.44,42.24,25.45,72.31,44.81,41.7
"ENSMUSG00000040446",223,158,188,937,977,954
"ENSMUSG00000040447",5,10,8,25,17,23
"ENSMUSG00000040451",1933,1170,1509,1838,2762,2780
"ENSMUSG00000040452",0,0,0,0,0,0
"ENSMUSG00000040455",260,202,193,625,565,738
"ENSMUSG00000040456",0,0,0,0,0,0
"ENSMUSG00000040459",254,216,226,567,755,618
"ENSMUSG00000040462",4041,7260,3761,9896,9447,8430
"ENSMUSG00000040463",3496,3895,4152,3462,3584,3245
"ENSMUSG00000040464",28,17,29,67,72,96
"ENSMUSG00000040466",2767,3018,3546,1488,1679,1403
"ENSMUSG00000040471",0,0,0,0,0,0
"ENSMUSG00000040472",1113.07,936.48,1073.03,1009,1299.01,1083.72
"ENSMUSG00000040473",0,0,0,0,0,0
"ENSMUSG00000040478",4,3,8,20,27,28
"ENSMUSG00000040479",8517.48,7859.8,8970.57,3905.7,7926.67,5713
"ENSMUSG00000040481",586,439,525,1399,1328,1549
"ENSMUSG00000040482",166,278,206,267,225,218
"ENSMUSG00000040483",16.97,26.2,30.05,51.34,93.33,78.12
"ENSMUSG00000040485",0,0,0,0,0,0
"ENSMUSG00000040488",72,44,110,48,94,63
"ENSMUSG00000040489",1,0,0,1,2,0
"ENSMUSG00000040490",0,0,0,0,1,0
"ENSMUSG00000040495",38,35,24,56,47,37
"ENSMUSG00000040498",8,4,12,12,15,18
"ENSMUSG00000040502",1193,1463,1076,1139,1139,931
"ENSMUSG00000040505",0,0,0,3,1,2
"ENSMUSG00000040506",1782,1611,1664,1213,1314,1277
"ENSMUSG00000040511",3343,3194,2641,13630,8243,10231
"ENSMUSG00000040514",0,0,0,0,0,0
"ENSMUSG00000040520",147,103,91,540,446,634
"ENSMUSG00000040521",216,246,193,295,253,205
"ENSMUSG00000040522",0,0,0,1,1,0
"ENSMUSG00000040524",1896,1563,1535,1931,1995,2058
"ENSMUSG00000040525",2,0,2,0,2,0
"ENSMUSG00000040528",831,656,683,730,1260,1044
"ENSMUSG00000040532",765,547.96,813,384.67,502.63,445.76
"ENSMUSG00000040533",2,3,9,1,2,5
"ENSMUSG00000040536",0,0,0,0,0,0
"ENSMUSG00000040537",1,2,2,22,10,9
"ENSMUSG00000040540",0,0,0,0,0,0
"ENSMUSG00000040541",0,0,0,0,0,0
"ENSMUSG00000040543",0,0,0,0,0,1
"ENSMUSG00000040548",702,593,654,1114,776,967
"ENSMUSG00000040549",263,251,254,1311,1158,1361
"ENSMUSG00000040550",336,305,298,888,677,816
"ENSMUSG00000040552",1502,1047,1272,1840,2144,2252
"ENSMUSG00000040554",5,9,11,5,5,7
"ENSMUSG00000040557",26,13,28,23,19,24
"ENSMUSG00000040560",321,200,246,804,832,909
"ENSMUSG00000040562",0,3,2,4,5,4
"ENSMUSG00000040563",130,114,205,144,247,144
"ENSMUSG00000040564",0,0,1,0,1,0
"ENSMUSG00000040565",420,426,386,1328,999,1293
"ENSMUSG00000040569",0,0,0,0,0,0
"ENSMUSG00000040570",1,0,2,2,4,1
"ENSMUSG00000040576",0,0,0,0,0,0
"ENSMUSG00000040583",0,0,0,0,0,1
"ENSMUSG00000040584",0,0,0,10.26,7.26,7.19
"ENSMUSG00000040586",26,32,31,209,197,238
"ENSMUSG00000040591",96.28,133.4,108.78,142.51,184.92,148.41
"ENSMUSG00000040592",1,0,2,2,2,1
"ENSMUSG00000040594",0,0,0,0,0,0
"ENSMUSG00000040596",1826.26,1314.06,1202.94,2918.8,2786.97,3159.05
"ENSMUSG00000040599",308.61,265.7,214.16,960.81,620.5,785.77
"ENSMUSG00000040600",0,0,0,0,2,1
"ENSMUSG00000040601",0,0,0,0,0,0
"ENSMUSG00000040605",0,0,0,0,0,0
"ENSMUSG00000040606",1,0,1,3,6,5
"ENSMUSG00000040610",0,0,0,0,0,0
"ENSMUSG00000040612",1,0,0,0,1,0
"ENSMUSG00000040613",5437,3375,4856,1356,3312,2774
"ENSMUSG00000040614",0,0,0,1,0,0
"ENSMUSG00000040616",288,143,233,182,309,217
"ENSMUSG00000040618",1275.7,3864.42,1285.24,2309.8,662.32,1113.95
"ENSMUSG00000040620",539,401,436,683,711,782
"ENSMUSG00000040621",28,37,24,44.14,33,41
"ENSMUSG00000040624",0,0,0,0,7,4
"ENSMUSG00000040627",11,7,4,6,23,14
"ENSMUSG00000040629",0,0,0,0,0,0
"ENSMUSG00000040631",63.68,132.26,73.2,132.35,113.52,90.47
"ENSMUSG00000040632",0,1,1,0,1,0
"ENSMUSG00000040640",0,2,0,2,2,0
"ENSMUSG00000040648",94,83,66,357,364,475
"ENSMUSG00000040649",0,0,0,0,1,0
"ENSMUSG00000040650",0,0,0,0,0,0
"ENSMUSG00000040651",58.57,36.61,39.96,743.83,571.06,776.58
"ENSMUSG00000040652",1544.68,1600,1335.22,3502.96,4102.76,3702.9
"ENSMUSG00000040653",2.99,3.98,4.02,4,3,6
"ENSMUSG00000040658",28,25,33,82,69,73
"ENSMUSG00000040659",13562,11887,15762,5143,6249,5031
"ENSMUSG00000040660",0,0,0,0,0,0
"ENSMUSG00000040661",739,573,535,1094,881,1072
"ENSMUSG00000040663",6,2,4,2,8,3
"ENSMUSG00000040666",1,1,0,2,4,0
"ENSMUSG00000040667",619,559,523,1337,1165,1289
"ENSMUSG00000040669",156,164,137,371,342,346
"ENSMUSG00000040675",6740,5040,5262,6739,7001,6676
"ENSMUSG00000040680",29,18.99,36,41,42,62
"ENSMUSG00000040681",2195.53,1850.44,2164.78,2044.41,2375.9,2161.75
"ENSMUSG00000040687",329,516,267,1366,1047,1120
"ENSMUSG00000040688",380.89,361.33,494.9,323.3,396.56,300.92
"ENSMUSG00000040690",2,1,0,3,5,2
"ENSMUSG00000040693",0,0,0,0,0,0
"ENSMUSG00000040694",0,0,0,1,0,1
"ENSMUSG00000040697",716,393,601,1078,1114,1007
"ENSMUSG00000040699",728,515,782,466,526,412
"ENSMUSG00000040701",146.67,163.62,205.06,164.88,172.21,141.34
"ENSMUSG00000040703",4,6,5,3,7,9
"ENSMUSG00000040706",0,2,0,0,1,0
"ENSMUSG00000040710",1116,760.08,922,4036.68,3777,4775
"ENSMUSG00000040711",1180,897,1186,682,999,872
"ENSMUSG00000040712",950,766,966,877,1326,940
"ENSMUSG00000040713",4114,3769,3989,5853,5805,5634
"ENSMUSG00000040714",488.36,439.16,547.1,175.03,262.27,204.31
"ENSMUSG00000040715",248.44,281.73,278.12,197.25,304.34,254.43
"ENSMUSG00000040717",0,0,1,3,9,4
"ENSMUSG00000040720",930,934,714,2010,1672,1988
"ENSMUSG00000040721",71,52,41,308,338,340
"ENSMUSG00000040722",361,274,380,409,596,439
"ENSMUSG00000040723",258.01,217,267,212,334,270
"ENSMUSG00000040724",0,0,0,1,0,0
"ENSMUSG00000040725",6107,6202,5469,4399,4455,4274
"ENSMUSG00000040726",0,0,0,1,0,0
"ENSMUSG00000040728",0,0,0,1,0,0
"ENSMUSG00000040729",0,0,0,0,0,0
"ENSMUSG00000040731",16622,17328,16375,10501,11267,10075
"ENSMUSG00000040732",0,0,0,0,2,1
"ENSMUSG00000040734",892,975,1047,1069,1148,919
"ENSMUSG00000040738",275,248.49,228.89,1096.85,727.39,1077.84
"ENSMUSG00000040740",0,0,1,5,4,3
"ENSMUSG00000040746",1327.93,1399.76,1265.82,1101,1150.72,1034.89
"ENSMUSG00000040747",6873,10599,4789,42474,18784,29441
"ENSMUSG00000040749",35,31.99,47,37,60.51,63.99
"ENSMUSG00000040751",2842.27,2236.07,2576.58,2742.4,3543.6,3170.91
"ENSMUSG00000040752",0,0,0,0,0,0
"ENSMUSG00000040759",0,0,0,0,0,0
"ENSMUSG00000040760",647,595,547,1170,1076,1238
"ENSMUSG00000040761",1993,1115,1395,2069,2776,2434
"ENSMUSG00000040767",255,325,330,411,359,330
"ENSMUSG00000040770",0,0,0,0,1,0
"ENSMUSG00000040771",272,255,226,348,343,328
"ENSMUSG00000040774",958.04,827.75,704.62,1906.13,1552.84,1778.54
"ENSMUSG00000040775",0,0,0,0,0,0
"ENSMUSG00000040782",744.73,661.01,583.47,1139.25,1158.28,1176.65
"ENSMUSG00000040785",360.13,430,362.34,1512.79,1154.5,1480.39
"ENSMUSG00000040794",0,0,0,0,0,0
"ENSMUSG00000040795",131.88,118.77,130.86,179.7,219,201.89
"ENSMUSG00000040797",59,25,39,37,88,68
"ENSMUSG00000040808",0,0,0,0,0,0
"ENSMUSG00000040809",0,0,1,0,2,0
"ENSMUSG00000040811",1225,1142,1145,1048,1119,992
